code,desc
A07.9,"Protozoal intestinal disease, unspecified (Protozoal colitis)"
A07.9,"Protozoal intestinal disease, unspecified (Protozoal diarrhea)"
A07.9,"Protozoal intestinal disease, unspecified (Protozoal dysentery)"
A08,"Viral and other specified intestinal infections"
A08.0,"Rotaviral enteritis"
A08.1,"Acute gastroenteropathy due to Norwalk agent and other small round viruses"
A08.11,"Acute gastroenteropathy due to Norwalk agent"
A08.11,"Acute gastroenteropathy due to Norwalk agent (Acute gastroenteropathy due to Norovirus)"
A08.11,"Acute gastroenteropathy due to Norwalk agent (Acute gastroenteropathy due to Norwalk-like agent)"
A08.19,"Acute gastroenteropathy due to other small round viruses"
A08.19,"Acute gastroenteropathy due to other small round viruses (Acute gastroenteropathy due to small round virus [SRV] NOS)"
A08.2,"Adenoviral enteritis"
A08.3,"Other viral enteritis"
A08.31,"Calicivirus enteritis"
A08.32,"Astrovirus enteritis"
A08.39,"Other viral enteritis"
A08.39,"Other viral enteritis (Coxsackie virus enteritis)"
A08.39,"Other viral enteritis (Echovirus enteritis)"
A08.39,"Other viral enteritis (Enterovirus enteritis NEC)"
A08.39,"Other viral enteritis (Torovirus enteritis)"
A08.4,"Viral intestinal infection, unspecified"
A08.4,"Viral intestinal infection, unspecified (Viral enteritis NOS)"
A08.4,"Viral intestinal infection, unspecified (Viral gastroenteritis NOS)"
A08.4,"Viral intestinal infection, unspecified (Viral gastroenteropathy NOS)"
A08.8,"Other specified intestinal infections"
A09,"Infectious gastroenteritis and colitis, unspecified"
A09,"Infectious gastroenteritis and colitis, unspecified (Infectious colitis NOS)"
A09,"Infectious gastroenteritis and colitis, unspecified (Infectious enteritis NOS)"
A09,"Infectious gastroenteritis and colitis, unspecified (Infectious gastroenteritis NOS)"
A15,"Respiratory tuberculosis"
A15.0,"Tuberculosis of lung"
A15.0,"Tuberculosis of lung (Tuberculous bronchiectasis)"
A15.0,"Tuberculosis of lung (Tuberculous fibrosis of lung)"
A15.0,"Tuberculosis of lung (Tuberculous pneumonia)"
A15.0,"Tuberculosis of lung (Tuberculous pneumothorax)"
A15.4,"Tuberculosis of intrathoracic lymph nodes"
A15.4,"Tuberculosis of intrathoracic lymph nodes (Tuberculosis of hilar lymph nodes)"
A15.4,"Tuberculosis of intrathoracic lymph nodes (Tuberculosis of mediastinal lymph nodes)"
A15.4,"Tuberculosis of intrathoracic lymph nodes (Tuberculosis of tracheobronchial lymph nodes)"
A15.5,"Tuberculosis of larynx, trachea and bronchus"
A15.5,"Tuberculosis of larynx, trachea and bronchus (Tuberculosis of bronchus)"
A15.5,"Tuberculosis of larynx, trachea and bronchus (Tuberculosis of glottis)"
A15.5,"Tuberculosis of larynx, trachea and bronchus (Tuberculosis of larynx)"
A15.5,"Tuberculosis of larynx, trachea and bronchus (Tuberculosis of trachea)"
A15.6,"Tuberculous pleurisy"
A15.6,"Tuberculous pleurisy (Tuberculosis of pleura Tuberculous empyema)"
A15.7,"Primary respiratory tuberculosis"
A15.8,"Other respiratory tuberculosis"
A15.8,"Other respiratory tuberculosis (Mediastinal tuberculosis)"
A15.8,"Other respiratory tuberculosis (Nasopharyngeal tuberculosis)"
A15.8,"Other respiratory tuberculosis (Tuberculosis of nose)"
A15.8,"Other respiratory tuberculosis (Tuberculosis of sinus [any nasal])"
A15.9,"Respiratory tuberculosis unspecified"
A17,"Tuberculosis of nervous system"
A17.0,"Tuberculous meningitis"
A17.0,"Tuberculous meningitis (Tuberculosis of meninges (cerebral)(spinal))"
A17.0,"Tuberculous meningitis (Tuberculous leptomeningitis)"
A17.1,"Meningeal tuberculoma"
A17.1,"Meningeal tuberculoma (Tuberculoma of meninges (cerebral) (spinal))"
A17.8,"Other tuberculosis of nervous system"
A17.81,"Tuberculoma of brain and spinal cord"
A17.81,"Tuberculoma of brain and spinal cord (Tuberculous abscess of brain and spinal cord)"
A17.82,"Tuberculous meningoencephalitis"
A17.82,"Tuberculous meningoencephalitis (Tuberculous myelitis)"
A17.83,"Tuberculous neuritis"
A17.83,"Tuberculous neuritis (Tuberculous mononeuropathy)"
A17.89,"Other tuberculosis of nervous system"
A17.89,"Other tuberculosis of nervous system (Tuberculous polyneuropathy)"
A17.9,"Tuberculosis of nervous system, unspecified"
A18,"Tuberculosis of other organs"
A18.0,"Tuberculosis of bones and joints"
A18.01,"Tuberculosis of spine"
A18.01,"Tuberculosis of spine (Pott's disease or curvature of spine)"
A18.01,"Tuberculosis of spine (Tuberculous arthritis)"
A18.01,"Tuberculosis of spine (Tuberculous osteomyelitis of spine)"
A18.01,"Tuberculosis of spine (Tuberculous spondylitis)"
A18.02,"Tuberculous arthritis of other joints"
A18.02,"Tuberculous arthritis of other joints (Tuberculosis of hip (joint))"
A18.02,"Tuberculous arthritis of other joints (Tuberculosis of knee (joint))"
A18.03,"Tuberculosis of other bones"
A18.03,"Tuberculosis of other bones (Tuberculous mastoiditis)"
A18.03,"Tuberculosis of other bones (Tuberculous osteomyelitis)"
A18.09,"Other musculoskeletal tuberculosis"
A18.09,"Other musculoskeletal tuberculosis (Tuberculous myositis)"
A18.09,"Other musculoskeletal tuberculosis (Tuberculous synovitis)"
A18.09,"Other musculoskeletal tuberculosis (Tuberculous tenosynovitis)"
A18.1,"Tuberculosis of genitourinary system"
A18.10,"Tuberculosis of genitourinary system, unspecified"
A18.11,"Tuberculosis of kidney and ureter"
A18.12,"Tuberculosis of bladder"
A18.13,"Tuberculosis of other urinary organs"
A18.13,"Tuberculosis of other urinary organs (Tuberculous urethritis)"
A18.14,"Tuberculosis of prostate"
A18.15,"Tuberculosis of other male genital organs"
A18.16,"Tuberculosis of cervix"
A18.17,"Tuberculous female pelvic inflammatory disease"
A18.17,"Tuberculous female pelvic inflammatory disease (Tuberculous endometritis)"
A18.17,"Tuberculous female pelvic inflammatory disease (Tuberculous oophoritis and salpingitis)"
A18.18,"Tuberculosis of other female genital organs"
A18.18,"Tuberculosis of other female genital organs (Tuberculous ulceration of vulva)"
A18.2,"Tuberculous peripheral lymphadenopathy"
A18.2,"Tuberculous peripheral lymphadenopathy (Tuberculous adenitis)"
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A18.31,"Tuberculous peritonitis"
A18.31,"Tuberculous peritonitis (Tuberculous ascites)"
A18.32,"Tuberculous enteritis"
A18.32,"Tuberculous enteritis (Tuberculosis of anus and rectum)"
A18.32,"Tuberculous enteritis (Tuberculosis of intestine (large) (small))"
A18.39,"Retroperitoneal tuberculosis"
A18.39,"Retroperitoneal tuberculosis (Tuberculosis of mesenteric glands)"
A18.39,"Retroperitoneal tuberculosis (Tuberculosis of retroperitoneal (lymph glands))"
A18.4,"Tuberculosis of skin and subcutaneous tissue"
A18.4,"Tuberculosis of skin and subcutaneous tissue (Erythema induratum, tuberculous)"
A18.4,"Tuberculosis of skin and subcutaneous tissue (Lupus excedens)"
A18.4,"Tuberculosis of skin and subcutaneous tissue (Lupus vulgaris NOS)"
A18.4,"Tuberculosis of skin and subcutaneous tissue (Lupus vulgaris of eyelid)"
A18.4,"Tuberculosis of skin and subcutaneous tissue (Scrofuloderma)"
A18.4,"Tuberculosis of skin and subcutaneous tissue (Tuberculosis of external ear)"
A18.5,"Tuberculosis of eye"
A18.50,"Tuberculosis of eye, unspecified"
A18.51,"Tuberculous episcleritis"
A18.52,"Tuberculous keratitis"
A18.52,"Tuberculous keratitis (Tuberculous interstitial keratitis)"
A18.52,"Tuberculous keratitis (Tuberculous keratoconjunctivitis (interstitial) (phlyctenular))"
A18.53,"Tuberculous chorioretinitis"
A18.54,"Tuberculous iridocyclitis"
A18.59,"Other tuberculosis of eye"
A18.59,"Other tuberculosis of eye (Tuberculous conjunctivitis)"
A18.6,"Tuberculosis of (inner) (middle) ear"
A18.6,"Tuberculosis of (inner) (middle) ear (Tuberculous otitis media)"
A18.7,"Tuberculosis of adrenal glands"
A18.7,"Tuberculosis of adrenal glands (Tuberculous Addison's disease)"
A18.8,"Tuberculosis of other specified organs"
A18.81,"Tuberculosis of thyroid gland"
A18.82,"Tuberculosis of other endocrine glands"
A18.82,"Tuberculosis of other endocrine glands (Tuberculosis of pituitary gland)"
A18.82,"Tuberculosis of other endocrine glands (Tuberculosis of thymus gland)"
A18.83,"Tuberculosis of digestive tract organs, not elsewhere classified"
A18.84,"Tuberculosis of heart"
A18.84,"Tuberculosis of heart (Tuberculous cardiomyopathy)"
A18.84,"Tuberculosis of heart (Tuberculous endocarditis)"
A18.84,"Tuberculosis of heart (Tuberculous myocarditis)"
A18.84,"Tuberculosis of heart (Tuberculous pericarditis)"
A18.85,"Tuberculosis of spleen"
A18.89,"Tuberculosis of other sites"
A18.89,"Tuberculosis of other sites (Tuberculosis of muscle)"
A18.89,"Tuberculosis of other sites (Tuberculous cerebral arteritis)"
A19,"Miliary tuberculosis"
A19.0,"Acute miliary tuberculosis of a single specified site"
A19.1,"Acute miliary tuberculosis of multiple sites"
A19.2,"Acute miliary tuberculosis, unspecified"
A19.8,"Other miliary tuberculosis"
A19.9,"Miliary tuberculosis, unspecified"
A20,Plague
A20.0,"Bubonic plague"
A20.1,"Cellulocutaneous plague"
A20.2,"Pneumonic plague"
A20.3,"Plague meningitis"
A20.7,"Septicemic plague"
A20.8,"Other forms of plague"
A20.8,"Other forms of plague (Abortive plague)"
A20.8,"Other forms of plague (Asymptomatic plague)"
A20.8,"Other forms of plague (Pestis minor)"
A20.9,"Plague, unspecified"
A21,Tularemia
A21.0,"Ulceroglandular tularemia"
A21.1,"Oculoglandular tularemia"
A21.1,"Oculoglandular tularemia (Ophthalmic tularemia)"
A21.2,"Pulmonary tularemia"
A21.3,"Gastrointestinal tularemia"
A21.3,"Gastrointestinal tularemia (Abdominal tularemia)"
A21.7,"Generalized tularemia"
A21.8,"Other forms of tularemia"
A21.9,"Tularemia, unspecified"
A22,Anthrax
A22.0,"Cutaneous anthrax"
A22.0,"Cutaneous anthrax (Malignant carbuncle)"
A22.0,"Cutaneous anthrax (Malignant pustule)"
A22.1,"Pulmonary anthrax"
A22.1,"Pulmonary anthrax (Inhalation anthrax)"
A22.1,"Pulmonary anthrax (Ragpicker's disease)"
A22.1,"Pulmonary anthrax (Woolsorter's disease)"
A22.2,"Gastrointestinal anthrax"
A22.7,"Anthrax sepsis"
A22.8,"Other forms of anthrax"
A22.8,"Other forms of anthrax (Anthrax meningitis)"
A22.9,"Anthrax, unspecified"
A23,Brucellosis
A23.0,"Brucellosis due to Brucella melitensis"
A23.1,"Brucellosis due to Brucella abortus"
A23.2,"Brucellosis due to Brucella suis"
A23.3,"Brucellosis due to Brucella canis"
A23.8,"Other brucellosis"
A23.9,"Brucellosis, unspecified"
A24,"Glanders and melioidosis"
A24.0,Glanders
A24.0,"Glanders (Infection due to Pseudomonas mallei)"
A24.0,"Glanders (Malleus)"
A24.1,"Acute and fulminating melioidosis"
A24.1,"Acute and fulminating melioidosis (Melioidosis pneumonia)"
A24.1,"Acute and fulminating melioidosis (Melioidosis sepsis)"
A24.2,"Subacute and chronic melioidosis"
A24.3,"Other melioidosis"
A24.9,"Melioidosis, unspecified"
A24.9,"Melioidosis, unspecified (Infection due to Pseudomonas pseudomallei NOS)"
A24.9,"Melioidosis, unspecified (Whitmore's disease)"
A25,"Rat-bite fevers"
A25.0,Spirillosis
A25.0,"Spirillosis (Sodoku)"
A25.1,Streptobacillosis
A25.1,"Streptobacillosis (Epidemic arthritic erythema)"
A25.1,"Streptobacillosis (Haverhill fever)"
A25.1,"Streptobacillosis (Streptobacillary rat-bite fever)"
A25.9,"Rat-bite fever, unspecified"
A26,Erysipeloid
A26.0,"Cutaneous erysipeloid"
A26.0,"Cutaneous erysipeloid (Erythema migrans)"
A26.7,"Erysipelothrix sepsis"
A26.8,"Other forms of erysipeloid"
A26.9,"Erysipeloid, unspecified"
A27,Leptospirosis
A27.0,"Leptospirosis icterohemorrhagica"
A27.0,"Leptospirosis icterohemorrhagica (Leptospiral or spirochetal jaundice (hemorrhagic))"
A27.0,"Leptospirosis icterohemorrhagica (Weil's disease)"
A27.8,"Other forms of leptospirosis"
A27.81,"Aseptic meningitis in leptospirosis"
A27.89,"Other forms of leptospirosis"
A27.9,"Leptospirosis, unspecified"
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A28.0,Pasteurellosis
A28.1,"Cat-scratch disease"
A28.1,"Cat-scratch disease (Cat-scratch fever)"
A28.2,"Extraintestinal yersiniosis"
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified"
A28.9,"Zoonotic bacterial disease, unspecified"
A30,"Leprosy [Hansen's disease]"
A30.0,"Indeterminate leprosy"
A30.0,"Indeterminate leprosy (I leprosy)"
A30.1,"Tuberculoid leprosy"
A30.1,"Tuberculoid leprosy (TT leprosy)"
A30.2,"Borderline tuberculoid leprosy"
A30.2,"Borderline tuberculoid leprosy (BT leprosy)"
A30.3,"Borderline leprosy"
A30.3,"Borderline leprosy (BB leprosy)"
A30.4,"Borderline lepromatous leprosy"
A30.4,"Borderline lepromatous leprosy (BL leprosy)"
A30.5,"Lepromatous leprosy"
A30.5,"Lepromatous leprosy (LL leprosy)"
A30.8,"Other forms of leprosy"
A30.9,"Leprosy, unspecified"
A31,"Infection due to other mycobacteria"
A31.0,"Pulmonary mycobacterial infection"
A31.0,"Pulmonary mycobacterial infection (Infection due to Mycobacterium avium)"
A31.0,"Pulmonary mycobacterial infection (Infection due to Mycobacterium intracellulare [Battey bacillus])"
A31.0,"Pulmonary mycobacterial infection (Infection due to Mycobacterium kansasii)"
A31.1,"Cutaneous mycobacterial infection"
A31.1,"Cutaneous mycobacterial infection (Buruli ulcer)"
A31.1,"Cutaneous mycobacterial infection (Infection due to Mycobacterium marinum)"
A31.1,"Cutaneous mycobacterial infection (Infection due to Mycobacterium ulcerans)"
A31.2,"Disseminated mycobacterium avium-intracellulare complex (DMAC)"
A31.2,"Disseminated mycobacterium avium-intracellulare complex (DMAC) (MAC sepsis)"
A31.8,"Other mycobacterial infections"
A31.9,"Mycobacterial infection, unspecified"
A31.9,"Mycobacterial infection, unspecified (Atypical mycobacterial infection NOS)"
A31.9,"Mycobacterial infection, unspecified (Mycobacteriosis NOS)"
A32,Listeriosis
A32.0,"Cutaneous listeriosis"
A32.1,"Listerial meningitis and meningoencephalitis"
A32.11,"Listerial meningitis"
A32.12,"Listerial meningoencephalitis"
A32.7,"Listerial sepsis"
A32.8,"Other forms of listeriosis"
A32.81,"Oculoglandular listeriosis"
A32.82,"Listerial endocarditis"
A32.89,"Other forms of listeriosis"
A32.89,"Other forms of listeriosis (Listerial cerebral arteritis)"
A32.9,"Listeriosis, unspecified"
A33,"Tetanus neonatorum"
A34,"Obstetrical tetanus"
A35,"Other tetanus"
A35,"Other tetanus (Tetanus NOS)"
A36,Diphtheria
A36.0,"Pharyngeal diphtheria"
A36.0,"Pharyngeal diphtheria (Diphtheritic membranous angina)"
A36.0,"Pharyngeal diphtheria (Tonsillar diphtheria)"
A36.1,"Nasopharyngeal diphtheria"
A36.2,"Laryngeal diphtheria"
A36.2,"Laryngeal diphtheria (Diphtheritic laryngotracheitis)"
A36.3,"Cutaneous diphtheria"
A36.8,"Other diphtheria"
A36.81,"Diphtheritic cardiomyopathy"
A36.81,"Diphtheritic cardiomyopathy (Diphtheritic myocarditis)"
A36.82,"Diphtheritic radiculomyelitis"
A36.83,"Diphtheritic polyneuritis"
A36.84,"Diphtheritic tubulo-interstitial nephropathy"
A36.85,"Diphtheritic cystitis"
A36.86,"Diphtheritic conjunctivitis"
A36.89,"Other diphtheritic complications"
A36.89,"Other diphtheritic complications (Diphtheritic peritonitis)"
A36.9,"Diphtheria, unspecified"
A37,"Whooping cough"
A37.0,"Whooping cough due to Bordetella pertussis"
A37.00,"Whooping cough due to Bordetella pertussis without pneumonia"
A37.01,"Whooping cough due to Bordetella pertussis with pneumonia"
A37.1,"Whooping cough due to Bordetella parapertussis"
A37.10,"Whooping cough due to Bordetella parapertussis without pneumonia"
A37.11,"Whooping cough due to Bordetella parapertussis with pneumonia"
A37.8,"Whooping cough due to other Bordetella species"
A37.80,"Whooping cough due to other Bordetella species without pneumonia"
A37.81,"Whooping cough due to other Bordetella species with pneumonia"
A37.9,"Whooping cough, unspecified species"
A37.90,"Whooping cough, unspecified species without pneumonia"
A37.91,"Whooping cough, unspecified species with pneumonia"
A38,"Scarlet fever"
A38.0,"Scarlet fever with otitis media"
A38.1,"Scarlet fever with myocarditis"
A38.8,"Scarlet fever with other complications"
A38.9,"Scarlet fever, uncomplicated"
A38.9,"Scarlet fever, uncomplicated (Scarlet fever, NOS)"
A39,"Meningococcal infection"
A39.0,"Meningococcal meningitis"
A39.1,"Waterhouse-Friderichsen syndrome"
A39.1,"Waterhouse-Friderichsen syndrome (Meningococcal hemorrhagic adrenalitis)"
A39.1,"Waterhouse-Friderichsen syndrome (Meningococcic adrenal syndrome)"
A39.2,"Acute meningococcemia"
A39.3,"Chronic meningococcemia"
A39.4,"Meningococcemia, unspecified"
A39.5,"Meningococcal heart disease"
A39.50,"Meningococcal carditis, unspecified"
A39.51,"Meningococcal endocarditis"
A39.52,"Meningococcal myocarditis"
A39.53,"Meningococcal pericarditis"
A39.8,"Other meningococcal infections"
A39.81,"Meningococcal encephalitis"
A39.82,"Meningococcal retrobulbar neuritis"
A39.83,"Meningococcal arthritis"
A39.84,"Postmeningococcal arthritis"
A39.89,"Other meningococcal infections"
A39.89,"Other meningococcal infections (Meningococcal conjunctivitis)"
A39.9,"Meningococcal infection, unspecified"
A39.9,"Meningococcal infection, unspecified (Meningococcal disease NOS)"
A40,"Streptococcal sepsis"
A40.0,"Sepsis due to streptococcus, group A"
A40.1,"Sepsis due to streptococcus, group B"
A40.3,"Sepsis due to Streptococcus pneumoniae"
A40.3,"Sepsis due to Streptococcus pneumoniae (Pneumococcal sepsis)"
A40.8,"Other streptococcal sepsis"
A40.9,"Streptococcal sepsis, unspecified"
A41,"Other sepsis"
A41.0,"Sepsis due to Staphylococcus aureus"
A41.01,"Sepsis due to Methicillin susceptible Staphylococcus aureus"
A41.01,"Sepsis due to Methicillin susceptible Staphylococcus aureus (MSSA sepsis)"
A41.01,"Sepsis due to Methicillin susceptible Staphylococcus aureus (Staphylococcus aureus sepsis NOS)"
A41.02,"Sepsis due to Methicillin resistant Staphylococcus aureus"
A41.1,"Sepsis due to other specified staphylococcus"
A41.1,"Sepsis due to other specified staphylococcus (Coagulase negative staphylococcus sepsis)"
A41.2,"Sepsis due to unspecified staphylococcus"
A41.3,"Sepsis due to Hemophilus influenzae"
A41.4,"Sepsis due to anaerobes"
A41.5,"Sepsis due to other Gram-negative organisms"
A41.50,"Gram-negative sepsis, unspecified"
A41.50,"Gram-negative sepsis, unspecified (Gram-negative sepsis NOS)"
A41.51,"Sepsis due to Escherichia coli [E. coli]"
A41.52,"Sepsis due to Pseudomonas"
A41.52,"Sepsis due to Pseudomonas (Pseudomonas aeroginosa)"
A41.53,"Sepsis due to Serratia"
A41.59,"Other Gram-negative sepsis"
A41.8,"Other specified sepsis"
A41.81,"Sepsis due to Enterococcus"
A41.89,"Other specified sepsis"
A41.9,"Sepsis, unspecified organism"
A41.9,"Sepsis, unspecified organism (Septicemia NOS)"
A42,Actinomycosis
A42.0,"Pulmonary actinomycosis"
A42.1,"Abdominal actinomycosis"
A42.2,"Cervicofacial actinomycosis"
A42.7,"Actinomycotic sepsis"
A42.8,"Other forms of actinomycosis"
A42.81,"Actinomycotic meningitis"
A42.82,"Actinomycotic encephalitis"
A42.89,"Other forms of actinomycosis"
A42.9,"Actinomycosis, unspecified"
A43,Nocardiosis
A43.0,"Pulmonary nocardiosis"
A43.1,"Cutaneous nocardiosis"
A43.8,"Other forms of nocardiosis"
A43.9,"Nocardiosis, unspecified"
A44,Bartonellosis
A44.0,"Systemic bartonellosis"
A44.0,"Systemic bartonellosis (Oroya fever)"
A44.1,"Cutaneous and mucocutaneous bartonellosis"
A44.1,"Cutaneous and mucocutaneous bartonellosis (Verruga peruana)"
A44.8,"Other forms of bartonellosis"
A44.9,"Bartonellosis, unspecified"
A46,Erysipelas
A48,"Other bacterial diseases, not elsewhere classified"
A48.0,"Gas gangrene"
A48.0,"Gas gangrene (Clostridial cellulitis)"
A48.0,"Gas gangrene (Clostridial myonecrosis)"
A48.1,"Legionnaires' disease"
A48.2,"Nonpneumonic Legionnaires' disease [Pontiac fever]"
A48.3,"Toxic shock syndrome"
A48.4,"Brazilian purpuric fever"
A48.4,"Brazilian purpuric fever (Systemic Hemophilus aegyptius infection)"
A48.5,"Other specified botulism"
A48.5,"Other specified botulism (Non-foodborne intoxication due to toxins of Clostridium botulinum [C. botulinum])"
A48.51,"Infant botulism"
A48.52,"Wound botulism"
A48.52,"Wound botulism (Non-foodborne botulism NOS)"
A48.8,"Other specified bacterial diseases"
A49,"Bacterial infection of unspecified site"
A49.0,"Staphylococcal infection, unspecified site"
A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site"
A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site (Methicillin susceptible Staphylococcus aureus (MSSA) infection)"
A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site (Staphylococcus aureus infection NOS)"
A49.02,"Methicillin resistant Staphylococcus aureus infection, unspecified site"
A49.02,"Methicillin resistant Staphylococcus aureus infection, unspecified site (Methicillin resistant Staphylococcus aureus (MRSA) infection)"
A49.1,"Streptococcal infection, unspecified site"
A49.2,"Hemophilus influenzae infection, unspecified site"
A49.3,"Mycoplasma infection, unspecified site"
A49.8,"Other bacterial infections of unspecified site"
A49.9,"Bacterial infection, unspecified"
A50,"Congenital syphilis"
